#PicoHarp 300  Histogram Data			03/28/2023 11:10:56 AM
#channels per curve
15625
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0.1280	0.1280	0.1280	
#counts
0	1	1	
1	0	5	
0	1	2	
0	0	1	
0	0	1	
1	2	2	
0	1	0	
0	2	1	
0	1	1	
1	1	2	
1	1	1	
0	1	3	
0	0	3	
0	1	1	
1	0	2	
2	1	2	
1	0	2	
0	0	1	
0	0	6	
0	0	3	
0	1	2	
2	0	1	
0	1	2	
0	0	6	
0	0	0	
0	1	1	
1	2	3	
0	0	3	
0	1	5	
0	1	3	
1	1	2	
0	2	2	
0	0	3	
0	0	2	
1	0	2	
0	0	1	
0	0	1	
1	1	2	
1	1	2	
0	0	2	
0	1	3	
0	0	2	
0	0	0	
1	1	0	
1	0	2	
0	0	1	
0	2	1	
0	1	3	
0	3	2	
1	1	2	
0	3	1	
1	1	2	
0	1	2	
0	0	4	
1	2	5	
0	0	3	
0	0	1	
0	0	1	
0	0	3	
1	0	1	
0	0	2	
1	1	2	
0	4	3	
1	2	3	
0	0	2	
0	0	0	
0	1	2	
1	1	2	
1	1	1	
0	0	2	
1	2	1	
0	0	2	
0	0	3	
0	2	1	
0	2	2	
1	0	0	
1	0	1	
1	0	5	
0	1	1	
1	1	0	
2	2	2	
0	1	2	
3	3	1	
1	2	0	
1	0	0	
0	1	3	
0	0	1	
0	0	3	
2	0	2	
0	2	3	
1	0	1	
0	0	1	
1	1	1	
0	1	2	
0	0	1	
2	1	2	
0	1	2	
0	0	3	
0	2	2	
0	2	1	
1	1	2	
1	2	2	
0	2	1	
1	2	3	
0	0	1	
1	0	1	
0	0	0	
0	2	0	
0	1	1	
0	2	3	
0	0	2	
2	0	3	
0	1	1	
0	0	4	
1	1	3	
2	2	0	
0	0	0	
1	1	3	
0	1	0	
0	0	1	
2	0	2	
0	1	3	
1	1	3	
2	0	2	
0	0	0	
0	1	6	
0	0	3	
1	1	2	
0	1	0	
0	0	4	
0	0	6	
0	0	3	
0	0	2	
0	0	1	
0	0	3	
1	1	2	
0	1	2	
0	0	1	
0	2	2	
1	0	0	
0	1	1	
0	0	1	
0	0	3	
0	2	1	
1	1	1	
0	1	2	
0	1	0	
1	0	2	
0	1	4	
0	0	3	
0	0	0	
1	0	0	
0	0	0	
1	2	1	
0	0	0	
2	1	1	
0	0	1	
1	0	2	
0	1	6	
0	0	2	
1	1	2	
0	1	7	
1	0	0	
0	0	3	
0	2	0	
1	2	1	
1	1	3	
0	0	2	
2	1	3	
2	1	1	
1	0	1	
0	1	4	
0	0	2	
0	1	2	
1	1	3	
0	1	3	
2	3	0	
1	0	2	
1	0	1	
0	0	1	
0	1	6	
1	2	2	
0	0	1	
0	0	2	
0	1	2	
1	2	1	
0	1	2	
0	0	0	
1	0	0	
0	1	1	
1	2	1	
0	1	5	
0	1	2	
1	0	2	
0	1	0	
1	0	0	
0	3	2	
0	1	2	
0	1	1	
1	0	1	
2	0	3	
0	1	2	
0	1	1	
0	2	4	
0	0	2	
0	0	1	
0	0	2	
0	0	0	
0	1	2	
1	1	2	
0	0	0	
0	0	0	
1	2	1	
0	3	2	
1	1	1	
0	0	2	
1	1	2	
1	1	0	
0	0	3	
0	2	0	
1	0	0	
0	1	1	
0	1	2	
0	1	1	
2	1	1	
1	2	1	
0	2	1	
0	0	2	
1	0	2	
0	0	0	
1	1	0	
1	0	2	
3	0	0	
0	0	2	
0	0	0	
0	1	3	
0	0	2	
2	2	1	
1	2	5	
0	1	1	
0	1	3	
0	2	5	
0	3	1	
1	2	6	
1	1	5	
0	0	1	
0	0	0	
1	0	1	
0	0	3	
1	1	3	
0	1	4	
1	2	1	
0	0	2	
0	1	1	
0	0	2	
0	0	3	
1	1	0	
0	0	0	
0	1	1	
0	1	1	
2	0	1	
1	1	1	
0	1	4	
0	0	0	
0	0	1	
0	2	3	
0	1	1	
0	0	1	
1	0	2	
1	1	1	
0	2	0	
0	0	1	
2	0	2	
0	0	1	
0	0	3	
1	1	0	
1	1	1	
0	1	1	
0	1	1	
1	1	0	
0	0	2	
0	1	1	
1	2	2	
0	1	2	
0	0	3	
0	1	2	
0	2	2	
0	1	2	
0	2	2	
0	1	1	
1	2	3	
0	0	3	
2	1	1	
1	1	1	
0	1	1	
0	0	0	
1	1	1	
0	1	1	
0	2	4	
1	1	2	
0	0	0	
0	1	2	
0	0	3	
0	0	1	
1	0	2	
1	0	0	
1	1	7	
0	1	0	
1	1	0	
1	0	0	
0	0	1	
0	2	1	
1	2	0	
0	0	2	
0	0	1	
1	0	3	
0	0	2	
1	0	3	
1	0	5	
0	1	1	
0	1	2	
0	1	1	
0	2	1	
2	1	1	
0	1	3	
0	1	1	
1	0	1	
1	2	3	
0	0	2	
0	0	2	
3	0	2	
1	0	1	
0	0	3	
0	0	4	
0	1	1	
0	1	3	
1	2	4	
0	1	3	
0	1	1	
1	1	1	
0	0	2	
1	0	2	
1	0	1	
1	1	3	
2	0	2	
0	0	1	
0	2	1	
0	0	1	
1	2	6	
0	0	0	
0	1	1	
0	0	2	
1	0	0	
1	2	3	
1	1	3	
0	0	2	
1	0	2	
0	0	2	
0	0	1	
0	0	2	
1	1	0	
0	0	3	
0	1	3	
0	3	1	
1	0	4	
0	1	0	
0	0	2	
1	0	3	
1	1	1	
1	0	2	
0	1	1	
0	0	3	
0	0	3	
1	0	2	
0	0	1	
1	2	2	
0	2	1	
1	0	3	
1	0	0	
1	0	0	
0	2	3	
1	0	3	
1	0	4	
0	0	2	
0	1	0	
0	1	0	
0	0	1	
0	1	2	
0	1	0	
0	1	0	
1	0	5	
1	0	4	
0	1	5	
1	0	3	
1	0	2	
0	1	1	
1	0	2	
0	1	3	
2	1	2	
1	1	0	
0	2	0	
0	1	0	
0	0	0	
0	0	3	
0	1	4	
1	0	1	
1	0	0	
0	0	0	
1	0	3	
2	0	1	
1	1	0	
0	0	1	
0	0	3	
0	1	4	
1	0	3	
0	3	0	
0	2	0	
0	2	2	
1	1	2	
0	2	0	
2	1	4	
0	0	1	
1	1	3	
0	0	6	
1	0	2	
1	0	2	
1	0	3	
1	0	1	
0	1	2	
0	0	2	
2	1	2	
0	0	2	
0	0	1	
1	0	2	
1	0	0	
0	0	3	
3	1	3	
0	0	0	
1	0	3	
0	0	0	
0	0	3	
1	0	2	
0	1	4	
2	0	1	
0	1	3	
0	0	2	
0	2	0	
1	0	1	
0	1	4	
0	0	0	
0	1	5	
0	1	2	
1	1	1	
0	1	3	
0	0	1	
2	0	1	
0	0	2	
0	0	0	
1	0	1	
0	0	3	
0	2	1	
0	0	4	
0	0	0	
0	0	2	
0	1	0	
0	1	0	
1	1	2	
1	1	3	
0	2	1	
1	0	4	
0	0	2	
2	1	3	
1	1	1	
1	3	2	
1	0	1	
1	0	1	
1	0	6	
0	1	1	
0	0	2	
0	2	2	
0	0	2	
0	0	4	
1	0	2	
0	2	3	
0	0	1	
0	1	1	
1	0	0	
0	0	1	
0	2	1	
0	0	0	
0	1	1	
0	0	2	
1	0	3	
0	0	3	
1	1	1	
1	1	2	
0	0	3	
0	0	2	
0	0	0	
0	0	1	
1	1	0	
2	1	3	
1	0	2	
1	0	1	
0	3	4	
0	0	0	
0	2	3	
0	0	1	
2	1	0	
1	1	1	
0	1	5	
0	1	1	
0	1	1	
0	0	3	
0	0	0	
0	1	4	
1	0	3	
0	0	3	
2	2	2	
0	0	2	
0	1	0	
0	0	3	
0	0	2	
0	0	2	
0	1	4	
0	1	1	
1	2	3	
0	1	0	
0	1	1	
0	0	1	
0	0	1	
0	0	1	
0	1	0	
0	0	2	
0	1	2	
0	0	2	
0	0	3	
0	1	2	
1	0	1	
0	2	2	
0	0	1	
0	0	0	
0	1	0	
0	1	2	
1	2	0	
0	1	2	
2	2	2	
2	1	1	
0	0	2	
0	0	1	
0	2	3	
0	2	3	
2	1	3	
0	0	1	
0	1	3	
0	0	2	
1	1	2	
0	2	1	
0	1	5	
2	0	2	
0	1	0	
0	2	1	
0	2	2	
1	0	0	
1	0	5	
1	1	2	
0	0	0	
0	0	0	
0	1	0	
0	1	3	
1	3	4	
0	0	3	
2	0	1	
0	0	4	
0	2	0	
0	2	1	
0	2	1	
0	1	1	
0	0	2	
0	0	1	
0	2	2	
0	1	3	
0	0	3	
1	1	5	
1	1	3	
0	0	2	
0	0	3	
0	0	1	
1	2	1	
1	0	0	
0	0	2	
0	0	3	
1	0	5	
1	0	2	
0	1	1	
0	1	5	
1	0	0	
0	0	2	
1	1	0	
1	3	1	
0	1	0	
0	0	1	
0	1	5	
0	1	4	
0	1	2	
1	0	0	
0	0	0	
2	1	1	
0	0	1	
1	1	1	
0	0	1	
0	0	2	
1	0	3	
0	0	3	
2	2	1	
0	0	0	
1	2	3	
1	1	1	
0	0	2	
0	0	2	
0	1	0	
0	0	3	
0	1	1	
0	2	1	
0	1	5	
0	0	4	
0	1	2	
0	0	0	
0	0	2	
0	0	0	
0	0	1	
0	0	0	
0	1	1	
0	0	1	
0	0	1	
1	0	4	
2	0	0	
0	2	4	
2	1	2	
2	0	0	
1	0	2	
0	0	0	
1	0	4	
2	1	2	
0	0	1	
1	3	4	
0	0	1	
0	3	1	
0	0	1	
0	0	1	
1	1	2	
0	1	1	
0	1	0	
2	4	2	
0	0	3	
0	0	3	
1	1	3	
1	1	2	
1	0	2	
0	0	0	
3	0	1	
0	2	2	
0	2	2	
0	1	2	
0	0	0	
0	0	0	
0	0	1	
0	0	3	
0	0	1	
2	0	0	
0	0	1	
2	1	1	
0	1	2	
0	0	3	
0	2	3	
0	1	3	
0	1	2	
0	0	2	
0	1	0	
1	1	1	
0	0	4	
0	0	0	
0	0	0	
0	0	1	
0	1	1	
0	0	1	
1	1	0	
0	0	2	
1	0	2	
0	1	2	
0	2	1	
0	1	1	
1	0	2	
0	1	2	
0	0	3	
0	0	4	
0	0	2	
0	0	0	
0	1	2	
0	2	2	
0	0	0	
0	0	1	
1	0	0	
0	1	4	
2	1	4	
0	1	1	
0	1	3	
0	1	0	
1	2	3	
0	2	0	
0	1	1	
1	1	1	
0	2	0	
2	0	2	
1	0	1	
0	1	2	
0	2	1	
0	0	3	
1	1	3	
0	1	5	
0	0	3	
1	0	2	
0	0	2	
0	0	1	
1	1	3	
0	0	1	
0	0	2	
2	1	3	
0	1	0	
0	0	3	
1	0	1	
0	0	1	
0	0	1	
1	0	2	
0	0	3	
0	0	1	
1	2	0	
0	0	2	
1	1	2	
1	2	1	
0	2	1	
0	1	0	
0	0	2	
2	0	3	
0	2	1	
0	0	1	
0	0	1	
0	0	2	
0	0	2	
0	0	2	
0	2	4	
0	1	4	
1	0	1	
0	1	1	
1	0	3	
1	2	0	
0	0	0	
0	0	2	
2	1	2	
1	0	1	
0	1	2	
0	1	1	
0	0	1	
0	0	2	
0	1	2	
0	2	0	
0	2	3	
1	1	2	
0	1	0	
0	1	4	
2	0	4	
0	0	2	
2	1	0	
0	2	2	
0	2	2	
0	0	2	
0	2	3	
0	1	1	
1	1	2	
0	0	2	
0	1	1	
0	0	1	
0	1	2	
0	0	1	
0	1	3	
0	0	1	
2	2	2	
0	2	1	
1	1	2	
0	1	0	
0	1	3	
0	0	1	
1	0	2	
0	1	3	
0	1	3	
0	1	3	
1	1	4	
0	0	0	
1	1	1	
1	2	1	
0	1	4	
0	0	2	
1	0	2	
0	2	0	
0	0	1	
1	0	5	
0	1	1	
0	0	1	
0	0	2	
0	1	5	
0	0	2	
1	0	2	
0	1	0	
0	2	1	
0	1	3	
0	0	1	
0	3	1	
0	1	1	
0	0	3	
0	0	2	
2	2	1	
0	0	3	
0	0	2	
0	2	0	
0	1	4	
2	0	3	
0	1	1	
1	1	2	
0	0	0	
0	1	2	
0	0	0	
0	1	0	
0	0	4	
0	1	0	
0	2	3	
2	0	2	
0	0	2	
0	2	2	
1	0	1	
0	1	1	
0	0	3	
1	1	2	
1	0	4	
0	0	0	
1	0	2	
0	2	2	
0	0	3	
2	2	1	
1	1	1	
0	1	1	
0	2	1	
0	1	5	
0	0	1	
0	0	3	
2	1	1	
0	0	1	
1	1	0	
0	0	2	
0	1	1	
1	0	0	
1	2	2	
1	1	1	
0	0	2	
1	0	2	
0	1	2	
2	0	3	
0	1	0	
0	0	2	
0	2	0	
1	1	2	
0	1	2	
0	0	1	
0	0	4	
0	1	2	
0	0	1	
0	0	2	
1	0	1	
1	1	1	
0	0	1	
0	0	1	
0	1	1	
0	0	1	
1	1	3	
0	0	3	
1	0	1	
0	0	0	
0	0	1	
1	0	2	
0	1	3	
1	1	2	
0	1	3	
1	0	3	
0	0	1	
0	0	2	
0	0	4	
0	0	1	
0	2	0	
0	0	2	
0	0	3	
1	0	2	
0	0	3	
1	0	1	
0	1	2	
2	0	2	
0	2	2	
3	1	2	
0	0	0	
0	1	1	
0	0	4	
1	0	2	
1	0	1	
0	2	0	
1	0	2	
0	0	1	
0	1	2	
0	1	1	
0	1	2	
0	2	2	
0	1	2	
1	1	1	
0	2	1	
1	1	1	
1	1	0	
0	0	2	
0	0	4	
0	0	3	
1	2	3	
2	2	5	
0	0	1	
2	1	0	
1	0	3	
0	0	2	
1	1	1	
0	2	1	
0	2	3	
0	0	0	
0	0	1	
3	0	0	
2	0	2	
1	0	0	
0	1	2	
0	0	2	
2	2	0	
0	1	1	
1	0	3	
0	1	0	
1	0	1	
0	2	0	
1	2	1	
0	0	0	
0	1	2	
0	0	4	
0	1	0	
0	1	2	
0	0	1	
0	1	3	
0	2	1	
0	0	0	
0	1	2	
0	1	1	
0	0	0	
0	0	1	
0	0	1	
0	0	3	
0	1	5	
0	1	2	
0	4	3	
0	1	0	
1	0	1	
0	0	0	
2	2	3	
0	0	4	
0	0	2	
0	1	2	
1	1	1	
1	2	0	
1	0	1	
2	0	1	
0	0	2	
0	0	3	
0	1	0	
0	1	0	
0	1	0	
1	1	0	
0	0	1	
0	0	1	
0	0	0	
0	0	1	
1	0	3	
0	0	2	
0	0	0	
0	1	1	
0	1	1	
0	1	1	
0	0	1	
0	0	0	
2	0	0	
0	0	2	
1	0	3	
1	1	1	
2	2	2	
0	2	1	
0	0	1	
0	0	1	
0	2	0	
0	3	0	
0	1	1	
0	0	2	
0	0	3	
0	1	1	
1	0	1	
1	0	1	
0	1	1	
0	1	1	
1	1	1	
0	2	1	
1	1	0	
0	0	3	
1	0	2	
0	0	2	
0	3	1	
0	1	4	
0	1	2	
1	1	0	
0	0	2	
0	2	1	
0	2	0	
0	1	1	
0	0	1	
0	1	0	
0	2	1	
1	1	0	
0	1	2	
0	0	1	
0	1	3	
1	0	2	
1	0	1	
0	0	2	
0	0	0	
0	1	1	
0	1	1	
0	0	3	
1	0	0	
1	0	4	
0	0	3	
0	1	0	
0	0	4	
2	1	0	
0	0	1	
1	0	1	
0	0	3	
0	0	2	
0	1	4	
1	1	1	
1	0	0	
0	0	2	
0	0	1	
1	2	4	
0	0	2	
0	0	1	
0	2	3	
1	0	3	
1	1	1	
0	1	1	
1	1	2	
0	0	1	
1	1	4	
0	2	1	
0	1	0	
1	0	1	
0	0	0	
0	1	2	
0	1	2	
1	1	1	
1	1	2	
2	1	2	
1	0	1	
1	0	4	
2	0	1	
0	1	1	
0	0	1	
0	0	1	
1	0	1	
1	0	3	
0	2	1	
0	1	1	
0	0	2	
0	0	2	
0	0	1	
1	0	0	
1	2	0	
3	3	3	
1	0	1	
0	1	0	
0	0	0	
0	1	2	
0	1	0	
0	0	3	
1	0	4	
1	0	2	
0	0	4	
1	1	1	
0	0	0	
1	1	0	
0	0	0	
0	1	1	
2	1	2	
0	0	0	
1	0	0	
1	1	3	
0	1	1	
0	0	0	
0	0	1	
0	1	2	
0	2	2	
0	0	1	
0	1	3	
0	0	2	
0	0	1	
0	1	1	
0	1	1	
0	1	2	
0	1	1	
0	1	0	
0	0	3	
1	0	0	
1	1	1	
0	0	2	
0	2	2	
1	1	3	
0	0	0	
1	1	3	
4	2	2	
1	1	4	
0	1	1	
0	0	0	
0	0	0	
1	0	3	
1	2	0	
0	0	4	
1	2	1	
0	1	3	
1	1	3	
0	0	0	
0	0	1	
0	0	2	
0	0	0	
0	0	2	
0	0	3	
1	0	2	
0	0	1	
0	1	1	
0	0	1	
1	1	3	
0	0	2	
0	0	3	
0	0	1	
2	1	0	
0	2	0	
1	1	0	
0	0	2	
0	1	1	
0	0	2	
0	0	2	
0	0	0	
1	1	1	
0	2	0	
0	1	1	
1	0	3	
0	1	1	
0	2	1	
0	1	3	
1	1	2	
1	1	0	
0	0	1	
0	0	1	
1	0	2	
1	0	1	
0	4	2	
0	0	2	
1	0	0	
0	1	4	
1	0	0	
0	3	0	
0	0	3	
0	1	3	
0	0	1	
0	1	1	
1	2	3	
1	1	2	
0	1	1	
0	0	2	
0	1	2	
0	0	1	
0	0	1	
1	1	1	
0	0	0	
2	0	1	
0	1	3	
0	0	0	
0	1	1	
1	1	2	
0	2	3	
2	0	1	
0	0	3	
0	1	1	
1	1	2	
0	0	2	
0	1	2	
0	0	3	
0	2	1	
0	2	1	
1	1	3	
1	2	1	
0	0	0	
0	1	3	
0	0	0	
0	3	2	
1	0	4	
0	2	1	
0	0	3	
0	1	2	
0	0	0	
0	2	1	
0	0	2	
0	0	4	
0	1	4	
0	0	0	
3	1	4	
0	1	2	
0	1	3	
2	0	2	
1	0	3	
2	0	2	
0	1	4	
0	0	3	
0	0	1	
0	0	1	
0	1	3	
1	1	2	
0	0	1	
0	0	3	
0	1	2	
0	1	0	
0	1	2	
0	0	3	
1	3	1	
1	0	1	
0	0	3	
0	0	1	
0	0	3	
0	0	2	
2	1	3	
0	0	1	
1	1	2	
1	0	3	
0	2	2	
0	0	4	
0	0	2	
0	2	3	
1	2	3	
2	0	0	
0	0	1	
0	1	3	
0	0	0	
0	1	1	
0	0	2	
0	0	1	
0	0	0	
0	1	3	
0	0	4	
0	2	4	
0	0	1	
0	0	2	
0	0	1	
0	0	2	
0	1	0	
1	1	3	
0	1	0	
0	0	2	
1	2	1	
1	1	0	
0	2	2	
0	0	0	
0	1	1	
0	1	0	
1	0	2	
0	1	2	
1	1	0	
1	0	0	
0	0	0	
0	0	1	
0	2	3	
0	1	0	
0	1	3	
2	1	2	
1	0	3	
0	0	2	
1	1	1	
1	0	2	
0	0	0	
0	1	0	
0	1	0	
0	1	2	
1	0	2	
1	0	0	
2	0	2	
1	0	2	
0	1	0	
0	1	0	
0	1	2	
0	2	3	
0	0	1	
0	2	1	
1	0	1	
1	0	2	
0	0	0	
0	0	4	
0	0	0	
1	0	2	
0	0	0	
1	1	1	
0	0	0	
0	0	2	
1	0	4	
0	1	2	
0	1	2	
0	0	3	
0	0	1	
1	1	2	
0	1	1	
0	0	2	
0	0	1	
1	0	0	
0	0	1	
0	0	2	
0	1	2	
1	0	0	
0	1	4	
0	0	0	
0	1	3	
0	1	0	
0	2	1	
1	0	2	
0	0	1	
0	1	3	
2	0	0	
0	1	1	
0	0	2	
0	0	2	
2	0	3	
0	0	1	
0	0	0	
0	0	3	
0	0	3	
1	1	0	
0	2	2	
0	0	0	
0	0	2	
1	0	1	
0	0	1	
0	0	1	
1	1	2	
0	1	3	
2	1	2	
1	0	0	
0	1	0	
0	0	1	
0	0	2	
0	0	0	
0	0	1	
0	4	2	
0	2	0	
0	0	1	
0	1	3	
1	1	1	
0	1	3	
0	1	3	
1	0	2	
0	0	0	
0	0	1	
0	0	2	
0	0	0	
1	0	2	
2	0	2	
1	1	3	
1	2	2	
0	0	3	
0	0	0	
0	1	3	
0	0	0	
0	0	0	
0	0	5	
2	0	1	
0	1	1	
0	2	3	
0	1	1	
0	0	2	
0	0	1	
1	0	1	
1	1	2	
0	3	3	
0	0	0	
0	0	3	
0	2	1	
2	1	0	
0	0	0	
1	0	2	
0	1	2	
0	0	0	
0	0	0	
0	1	2	
0	0	2	
0	0	2	
0	0	3	
0	0	2	
1	1	0	
0	0	2	
1	1	1	
0	0	2	
1	1	0	
0	2	2	
0	0	2	
0	1	5	
0	0	1	
0	0	3	
0	0	1	
0	1	2	
0	1	1	
0	0	0	
0	2	0	
0	1	0	
0	2	1	
1	0	3	
0	0	1	
1	0	1	
0	0	2	
0	1	1	
0	1	3	
0	1	1	
0	1	2	
0	0	1	
0	0	1	
0	1	4	
0	2	1	
0	1	0	
0	1	2	
0	1	2	
1	0	3	
0	0	0	
0	0	0	
1	0	0	
1	0	1	
1	0	2	
0	0	2	
1	0	1	
0	2	3	
0	0	0	
1	0	1	
1	1	1	
0	0	3	
0	0	0	
0	1	2	
0	0	3	
0	0	1	
0	0	1	
0	2	2	
0	0	2	
0	1	0	
0	1	0	
0	1	3	
1	1	1	
0	1	2	
0	1	1	
0	1	4	
1	2	4	
1	0	1	
0	0	0	
0	1	3	
0	0	0	
0	0	1	
0	0	0	
0	0	2	
0	1	2	
0	1	1	
1	0	2	
0	0	0	
0	0	3	
1	1	1	
0	1	3	
0	0	2	
0	0	2	
0	0	2	
0	0	2	
0	0	2	
0	1	1	
0	0	1	
0	0	1	
0	0	0	
0	0	0	
0	1	0	
0	0	3	
0	1	3	
0	1	2	
0	0	2	
0	0	1	
1	1	0	
0	1	2	
1	1	1	
0	1	0	
0	0	2	
0	0	2	
0	0	0	
2	0	0	
0	0	0	
0	0	1	
0	1	4	
0	1	1	
0	0	3	
0	0	2	
0	0	2	
2	1	1	
0	0	2	
0	3	2	
1	1	0	
0	0	1	
0	0	0	
1	1	0	
0	0	0	
1	1	0	
0	2	0	
0	0	1	
0	0	0	
1	1	0	
1	2	0	
0	0	1	
0	0	3	
0	1	1	
0	1	0	
0	0	0	
2	0	1	
0	0	1	
0	0	2	
0	0	0	
1	0	0	
0	0	3	
0	2	0	
1	1	1	
0	0	2	
1	1	1	
1	1	0	
0	0	1	
2	2	4	
0	1	3	
1	0	2	
2	0	2	
0	0	1	
2	0	0	
1	2	0	
0	1	1	
2	0	1	
1	1	2	
0	0	2	
0	0	2	
0	1	1	
0	1	1	
3	0	0	
1	0	0	
0	0	3	
0	1	1	
1	0	0	
0	1	1	
0	0	1	
0	1	3	
0	1	2	
0	0	0	
0	1	4	
1	1	1	
0	1	1	
0	1	0	
0	0	1	
1	0	2	
1	0	1	
1	1	3	
0	0	0	
0	0	1	
0	0	1	
0	0	2	
0	1	2	
0	0	2	
0	1	2	
1	0	0	
1	0	1	
0	1	1	
0	1	1	
0	0	3	
0	0	0	
0	0	3	
0	0	1	
0	0	2	
1	0	2	
0	1	1	
0	0	1	
1	1	0	
0	1	0	
0	2	3	
0	0	0	
1	0	3	
1	1	2	
0	2	0	
0	0	1	
0	0	2	
0	0	2	
0	0	0	
2	3	4	
1	1	0	
1	1	1	
2	2	3	
0	0	3	
0	0	0	
1	1	1	
0	0	0	
0	0	0	
0	0	1	
1	0	0	
1	0	2	
0	1	2	
1	0	0	
1	1	2	
0	0	0	
0	2	3	
2	1	0	
0	0	2	
0	2	0	
0	0	1	
0	0	2	
0	1	3	
0	2	3	
1	1	3	
0	1	2	
0	2	3	
1	1	4	
1	0	1	
0	0	2	
0	1	1	
0	2	2	
0	0	2	
1	1	2	
0	3	0	
1	0	0	
0	1	2	
1	1	0	
0	1	0	
0	0	3	
0	1	1	
0	1	1	
0	0	1	
0	1	0	
0	2	1	
0	0	1	
0	0	2	
0	0	2	
0	1	0	
0	0	3	
1	2	3	
0	1	1	
0	1	2	
1	1	1	
0	2	4	
0	0	2	
1	0	2	
0	0	1	
2	0	0	
0	0	4	
0	0	1	
0	1	0	
0	0	0	
1	1	3	
0	0	1	
0	1	3	
0	0	1	
1	2	0	
0	3	0	
2	2	3	
2	3	0	
0	1	3	
2	0	1	
1	2	3	
0	0	2	
0	1	2	
0	2	4	
0	3	2	
0	1	1	
0	0	2	
0	0	0	
0	0	1	
0	0	1	
0	2	0	
0	1	0	
1	1	0	
0	3	1	
0	1	1	
0	0	1	
0	0	3	
0	1	2	
0	1	0	
0	2	0	
1	1	3	
0	1	1	
0	3	1	
1	1	2	
0	1	1	
0	1	1	
1	1	0	
0	2	0	
0	0	2	
0	1	1	
0	0	0	
0	0	1	
0	0	0	
1	0	3	
0	1	2	
0	0	1	
2	0	1	
0	0	1	
0	0	3	
0	1	3	
0	0	3	
1	0	0	
0	1	4	
0	0	2	
0	1	1	
0	0	2	
2	0	2	
0	0	3	
0	1	2	
1	0	1	
1	0	1	
0	0	2	
0	0	2	
0	0	0	
0	0	2	
0	0	2	
1	1	3	
0	0	4	
0	0	0	
0	0	1	
0	0	0	
1	0	0	
0	0	0	
0	0	3	
0	0	1	
0	1	1	
2	1	1	
0	0	1	
0	0	1	
0	1	2	
2	1	1	
0	0	1	
0	0	3	
0	1	0	
0	2	1	
0	1	3	
0	2	0	
2	0	1	
0	0	4	
1	1	1	
0	0	3	
0	1	0	
0	0	0	
0	1	5	
0	0	1	
0	0	4	
0	1	0	
1	0	1	
0	0	0	
1	0	0	
0	0	1	
0	0	0	
0	0	2	
0	1	1	
0	1	2	
1	0	0	
0	1	1	
1	0	2	
0	0	1	
1	0	1	
1	0	2	
0	0	1	
1	0	2	
1	0	1	
1	0	0	
0	0	1	
0	0	1	
1	2	4	
0	0	4	
0	0	0	
0	1	0	
1	2	1	
2	0	0	
0	0	2	
1	0	0	
0	0	1	
1	1	1	
1	1	2	
1	0	1	
0	0	0	
1	0	1	
0	0	2	
0	0	1	
0	1	1	
0	3	1	
0	1	4	
0	0	1	
1	1	5	
0	0	2	
0	0	0	
1	1	2	
0	0	2	
0	0	0	
0	0	1	
1	0	1	
1	1	2	
0	0	1	
0	1	1	
1	0	0	
1	1	0	
0	0	2	
2	1	2	
1	1	1	
0	1	1	
0	0	3	
0	0	3	
0	0	1	
0	0	4	
2	0	1	
0	0	1	
0	0	0	
0	0	0	
0	0	1	
2	0	2	
0	0	2	
0	0	0	
0	1	0	
0	2	3	
0	0	3	
0	0	2	
0	0	1	
2	1	0	
0	0	1	
0	1	2	
0	0	2	
0	1	0	
0	1	1	
0	0	1	
0	0	2	
0	0	1	
0	1	2	
0	1	0	
0	0	0	
2	0	0	
0	1	2	
1	0	2	
0	2	2	
0	3	2	
1	0	1	
0	0	2	
0	3	1	
1	2	1	
1	3	0	
1	0	2	
1	0	2	
0	0	1	
1	0	2	
0	0	2	
0	0	1	
0	0	3	
0	0	1	
2	1	0	
1	0	0	
0	1	3	
0	2	2	
1	1	2	
0	0	2	
0	0	0	
0	0	1	
1	0	0	
0	1	2	
1	0	4	
0	0	2	
0	1	1	
0	0	0	
0	1	0	
0	2	1	
0	0	1	
0	0	4	
1	0	1	
0	1	1	
2	1	0	
0	0	1	
0	0	0	
0	0	2	
0	0	0	
1	1	0	
1	0	3	
0	0	1	
0	3	1	
1	1	1	
0	0	0	
0	0	2	
0	2	2	
0	0	0	
1	0	1	
0	0	3	
0	0	2	
1	0	2	
0	0	2	
0	0	0	
0	0	3	
0	0	3	
0	0	0	
0	0	1	
2	1	0	
0	0	0	
0	0	0	
1	0	2	
1	0	0	
0	1	1	
1	1	2	
0	0	1	
0	0	0	
0	2	0	
0	0	5	
0	0	1	
0	0	4	
0	1	3	
0	0	2	
0	1	3	
0	0	0	
0	1	2	
0	1	5	
0	1	3	
1	1	0	
0	0	1	
0	3	1	
0	0	1	
0	0	1	
0	1	0	
0	2	1	
0	1	0	
0	0	2	
0	1	0	
0	0	0	
1	1	1	
0	1	4	
0	0	2	
0	1	1	
0	1	4	
0	0	1	
0	2	3	
0	0	0	
0	0	1	
1	0	2	
0	1	4	
0	0	2	
0	1	1	
0	0	1	
0	1	1	
0	1	3	
0	2	1	
0	0	2	
1	0	2	
0	0	2	
0	0	4	
0	0	3	
0	0	1	
0	1	0	
1	1	1	
2	2	0	
0	0	0	
0	0	1	
0	3	6	
0	1	1	
0	0	3	
1	0	1	
1	0	1	
